"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"3442","Southeast","183","179","6641","1193","2737","319","889","469","568","154","730","790","153","22","359","303","3174",".436",".359",".826",".531","23.6","108","110","36.3","17.3","4.0","4.3","johnsjo02"
"3443","Southwest","125","117","4565","809","1827","192","534","241","293","117","531","510","95","34","258","204","2051",".443",".360",".823",".524","22.7","105","112","36.5","16.4","4.2","4.1","johnsjo02"
"3444","Atlanta","25","22","798","115","292","34","106","32","38","15","103","79","21","3","37","29","296",".394",".321",".842",".479","19.5","98","110","31.9","11.8","4.1","3.2","johnsjo02"
"3445","Boston","45","42","1635","293","707","79","216","124","160","46","185","158","49","10","88","97","789",".414",".366",".775",".507","24.2","104","109","36.3","17.5","4.1","3.5","johnsjo02"
"3446","CHH, CHA, CHO","44","43","1560","291","643","83","217","127","151","33","174","193","40","4","86","74","792",".453",".382",".841",".558","24.2","112","110","35.4","18.0","4.0","4.4","johnsjo02"
"3447","Chicago","50","48","1848","326","753","71","187","111","140","45","209","202","50","6","94","91","834",".433",".380",".793",".512","22.7","105","108","37.0","16.7","4.2","4.0","johnsjo02"
"3448","Cleveland","44","41","1571","271","609","63","185","114","146","28","161","179","32","15","97","77","719",".445",".341",".781",".534","23.0","104","108","35.7","16.3","3.7","4.1","johnsjo02"
"3449","Dallas","36","31","1349","243","519","48","146","77","92","28","174","140","28","11","79","69","611",".468",".329",".837",".546","21.8","107","111","37.5","17.0","4.8","3.9","johnsjo02"
"3450","Denver","38","29","1283","235","530","65","161","74","85","29","146","145","34","12","72","75","609",".443",".404",".871",".537","22.5","108","112","33.8","16.0","3.8","3.8","johnsjo02"
"3451","Detroit","48","45","1655","294","637","73","202","96","121","32","163","184","33","10","91","80","757",".462",".361",".793",".548","22.7","108","111","34.5","15.8","3.4","3.8","johnsjo02"
"3452","Golden State","36","32","1304","244","571","62","167","94","111","34","142","145","20","13","71","64","644",".427",".371",".847",".519","22.9","107","114","36.2","17.9","3.9","4.0","johnsjo02"
"3453","Houston","37","33","1292","218","515","54","153","68","81","47","178","166","27","9","70","62","558",".423",".353",".840",".507","22.2","106","112","34.9","15.1","4.8","4.5","johnsjo02"
"3454","Indiana","44","40","1562","298","654","80","184","107","120","34","164","182","50","8","90","88","783",".456",".435",".892",".554","23.3","110","110","35.5","17.8","3.7","4.1","johnsjo02"
"3455","LA Clippers","38","35","1304","243","541","66","152","91","120","42","137","137","31","8","73","60","643",".449",".434",".758",".541","23.6","108","110","34.3","16.9","3.6","3.6","johnsjo02"
"3456","LA Lakers","38","32","1348","237","562","60","172","80","100","37","143","153","34","11","84","70","614",".422",".349",".800",".507","23.1","103","112","35.5","16.2","3.8","4.0","johnsjo02"
"3457","Memphis","34","26","1093","169","401","49","128","49","63","25","120","134","29","9","52","50","436",".421",".383",".778",".508","20.4","105","108","32.1","12.8","3.5","3.9","johnsjo02"
"3458","Miami","49","46","1758","281","690","69","225","121","152","32","181","180","40","8","99","81","752",".407",".307",".796",".497","23.2","100","111","35.9","15.3","3.7","3.7","johnsjo02"
"3459","Milwaukee","44","42","1656","278","648","72","191","110","143","27","181","215","40","6","91","89","738",".429",".377",".769",".519","22.5","106","112","37.6","16.8","4.1","4.9","johnsjo02"
"3460","Minnesota","34","30","1128","199","454","46","127","59","79","34","127","128","25","6","61","55","503",".438",".362",".747",".515","22.1","105","109","33.2","14.8","3.7","3.8","johnsjo02"
"3461","NJN, BRK","34","28","1184","204","453","52","135","90","108","27","139","155","27","5","80","80","550",".450",".385",".833",".549","23.0","109","110","34.8","16.2","4.1","4.6","johnsjo02"
"3462","NOH, NOK, NOP","27","27","1028","176","405","43","118","48","60","26","131","113","22","4","60","38","443",".435",".364",".800",".513","22.4","103","110","38.1","16.4","4.9","4.2","johnsjo02"
"3463","New York","49","48","1848","340","759","97","242","132","166","46","246","234","52","12","95","97","909",".448",".401",".795",".546","23.0","113","111","37.7","18.6","5.0","4.8","johnsjo02"
"3464","SEA, OKC","36","30","1322","241","567","51","168","67","83","34","153","155","29","13","66","68","600",".425",".304",".807",".497","23.3","104","113","36.7","16.7","4.3","4.3","johnsjo02"
"3465","Orlando","53","50","1815","338","740","78","214","127","154","51","197","218","44","7","101","91","881",".457",".364",".825",".545","23.2","110","108","34.2","16.6","3.7","4.1","johnsjo02"
"3466","Philadelphia","46","41","1531","278","578","81","182","102","134","26","163","187","41","9","106","89","739",".481",".445",".761",".580","22.5","110","109","33.3","16.1","3.5","4.1","johnsjo02"
"3467","Phoenix","26","23","916","154","392","34","110","67","83","30","122","92","26","4","57","45","409",".393",".309",".807",".477","23.4","100","111","35.2","15.7","4.7","3.5","johnsjo02"
"3468","Portland","33","30","1242","259","541","55","147","81","104","31","147","140","30","6","63","49","654",".479",".374",".779",".557","24.7","113","112","37.6","19.8","4.5","4.2","johnsjo02"
"3469","Sacramento","36","30","1204","237","503","53","140","85","103","37","148","159","29","6","80","68","612",".471",".379",".825",".558","23.0","112","113","33.4","17.0","4.1","4.4","johnsjo02"
"3470","San Antonio","38","36","1363","218","530","36","112","66","86","37","126","127","33","10","76","72","538",".411",".321",".767",".474","22.3","97","114","35.9","14.2","3.3","3.3","johnsjo02"
"3471","Toronto","51","47","1814","354","744","95","233","127","164","45","201","218","37","8","99","85","930",".476",".408",".774",".570","23.7","114","112","35.6","18.2","3.9","4.3","johnsjo02"
"3472","Utah","34","31","1182","212","445","56","127","91","124","26","119","115","38","5","65","74","571",".476",".441",".734",".572","22.7","111","113","34.8","16.8","3.5","3.4","johnsjo02"
"3473","Washington","44","43","1655","307","698","79","219","97","116","54","203","214","43","7","88","80","790",".440",".361",".836",".527","23.3","110","108","37.6","18.0","4.6","4.9","johnsjo02"
"3474","Total","690","92","10930","1188","2963","767","1909","527","626","225","1258","358","223","214","227","911","3670",".401",".402",".842",".567","14.7","110","108","15.8","5.3","1.8","0.5","jonesja02"
"3475","Home","351","51","5513","590","1483","368","939","286","321","97","642","180","88","109","109","405","1834",".398",".392",".891",".565","14.6","111","107","15.7","5.2","1.8","0.5","jonesja02"
"3476","Road","339","41","5418","598","1480","399","970","241","305","128","616","178","135","105","118","506","1836",".404",".411",".790",".569","14.9","109","110","16.0","5.4","1.8","0.5","jonesja02"
"3477","Pre","421","52","6458","705","1760","462","1152","351","413","131","751","214","141","124","138","534","2223",".401",".401",".850",".572","14.9","111","107","15.3","5.3","1.8","0.5","jonesja02"
"3478","Post","269","40","4472","483","1203","305","757","176","213","94","507","144","82","90","89","377","1447",".401",".403",".826",".558","14.5","109","109","16.6","5.4","1.9","0.5","jonesja02"
"3479","Win","451","51","6961","819","1942","537","1263","346","398","130","826","238","127","132","134","531","2521",".422",".425",".869",".595","15.0","116","104","15.4","5.6","1.8","0.5","jonesja02"
"3480","Loss","239","41","3969","369","1021","230","646","181","228","95","432","120","96","82","93","380","1149",".361",".356",".794",".512","14.3","100","115","16.6","4.8","1.8","0.5","jonesja02"
"3481","October","11","0","151","19","44","17","32","2","2","1","10","3","4","3","2","12","57",".432",".531","1.000",".635","14.6","117","98","13.7","5.2","0.9","0.3","jonesja02"
"3482","November","93","19","1507","170","417","119","284","56","70","36","180","53","28","21","32","117","515",".408",".419",".800",".575","14.7","109","109","16.2","5.5","1.9","0.6","jonesja02"
"3483","December","127","12","2007","218","557","148","361","117","145","43","266","76","48","42","43","154","701",".391",".410",".807",".565","15.3","111","105","15.8","5.5","2.1","0.6","jonesja02"
"3484","January","140","19","2155","236","563","147","364","130","147","38","226","63","44","39","41","191","749",".419",".404",".884",".597","14.5","116","108","15.4","5.4","1.6","0.5","jonesja02"
"3485","February","86","5","1149","116","320","64","197","60","67","19","114","31","22","26","31","99","356",".363",".325",".896",".509","15.2","98","109","13.4","4.1","1.3","0.4","jonesja02"
"3486","March","141","16","2106","226","567","148","377","95","117","46","226","68","43","47","41","189","695",".399",".393",".812",".562","14.6","111","111","14.9","4.9","1.6","0.5","jonesja02"
"3487","April","92","21","1856","203","495","124","294","67","78","42","236","64","34","36","37","149","597",".410",".422",".859",".564","14.3","111","107","20.2","6.5","2.6","0.7","jonesja02"
"3488","Sunday","93","11","1507","153","375","95","242","89","100","29","177","44","28","26","34","121","490",".408",".393",".890",".585","14.0","112","110","16.2","5.3","1.9","0.5","jonesja02"
"3489","Monday","73","2","1105","132","298","84","193","40","46","23","141","38","22","22","27","92","388",".443",".435",".870",".610","14.8","113","108","15.1","5.3","1.9","0.5","jonesja02"
"3490","Tuesday","108","13","1712","188","467","127","313","85","100","46","201","60","40","32","36","162","588",".403",".406",".850",".575","14.7","115","107","15.9","5.4","1.9","0.6","jonesja02"
"3491","Wednesday","123","19","2132","251","605","183","399","101","116","35","240","59","39","53","41","164","786",".415",".459",".871",".599","15.3","115","107","17.3","6.4","2.0","0.5","jonesja02"
"3492","Thursday","60","10","952","102","259","66","163","47","64","21","106","24","22","13","20","88","317",".394",".405",".734",".552","14.6","106","111","15.9","5.3","1.8","0.4","jonesja02"
"3493","Friday","140","23","2096","220","593","131","364","96","122","36","214","87","40","42","49","165","667",".371",".360",".787",".516","15.4","101","108","15.0","4.8","1.5","0.6","jonesja02"
"3494","Saturday","93","14","1426","142","366","81","235","69","78","35","179","46","32","26","20","119","434",".388",".345",".885",".542","13.7","111","106","15.3","4.7","1.9","0.5","jonesja02"
"3495","Starter","92","92","2419","246","635","154","378","93","114","56","282","84","58","43","59","183","739",".387",".407",".816",".539","14.4","106","108","26.3","8.0","3.1","0.9","jonesja02"
"3496","Reserve","598","0","8511","942","2328","613","1531","434","512","169","976","274","165","171","168","728","2931",".405",".400",".848",".574","14.8","111","108","14.2","4.9","1.6","0.5","jonesja02"
"3497","40+","6","5","260","36","72","20","38","19","23","7","41","8","10","5","5","14","111",".500",".526",".826",".676","16.7","133","108","43.4","18.5","6.8","1.3","jonesja02"
"3498","30-39","55","29","1823","162","418","105","274","84","98","38","216","66","38","25","38","137","513",".388",".383",".857",".556","12.9","110","108","33.1","9.3","3.9","1.2","jonesja02"
"3499","20-29","172","33","4234","546","1199","350","755","219","257","91","488","127","77","89","86","322","1661",".455",".464",".852",".633","15.3","122","108","24.6","9.7","2.8","0.7","jonesja02"
"3500","10-19","236","23","3567","339","982","211","633","166","203","77","422","123","80","73","69","358","1055",".345",".333",".818",".492","14.8","100","109","15.1","4.5","1.8","0.5","jonesja02"
"3501","0-9","221","2","1046","105","292","81","209","39","45","12","91","34","18","22","29","80","330",".360",".388",".867",".529","15.2","88","107","4.7","1.5","0.4","0.2","jonesja02"
"3502","0 Days","142","22","2514","282","657","174","423","129","153","56","298","92","57","57","62","213","867",".429",".411",".843",".598","14.6","114","109","17.7","6.1","2.1","0.6","jonesja02"
"3503","1 Day","308","35","5243","562","1440","357","925","257","297","107","612","162","93","108","100","454","1738",".390",".386",".865",".553","14.8","109","108","17.0","5.6","2.0","0.5","jonesja02"
"3504","2 Days","99","20","1683","181","441","121","280","73","92","37","190","57","36","24","31","133","556",".410",".432",".793",".577","14.3","112","109","17.0","5.6","1.9","0.6","jonesja02"
"3505","3+ Days","127","14","1337","148","382","102","252","62","76","23","146","44","33","24","30","99","460",".387",".405",".816",".554","15.4","106","106","10.5","3.6","1.1","0.3","jonesja02"
"3506","Eastern","389","50","6083","629","1602","442","1105","290","350","105","671","207","130","122","102","510","1990",".393",".400",".829",".567","14.3","111","106","15.6","5.1","1.7","0.5","jonesja02"
"3507","Western","301","42","4848","559","1361","325","804","237","276","120","587","151","93","92","125","401","1680",".411",".404",".859",".567","15.3","109","110","16.1","5.6","2.0","0.5","jonesja02"
"3508","Atlantic","131","15","2067","205","530","145","364","107","125","30","236","72","36","35","34","170","662",".387",".398",".856",".566","14.0","110","106","15.8","5.1","1.8","0.5","jonesja02"
"3509","Central","129","19","1862","189","479","132","324","92","114","34","186","67","43","42","32","160","602",".395",".407",".807",".569","14.2","112","108","14.4","4.7","1.4","0.5","jonesja02"
"3510","Midwest","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0",".000",".000",NA,".000","45.9","0",NA,"1.0","0.0","0.0","0.0","jonesja02"
"3511","Northwest","102","11","1605","196","451","108","257","104","121","37","201","47","19","27","36","137","604",".435",".420",".860",".599","15.5","117","111","15.7","5.9","2.0","0.5","jonesja02"
"3512","Pacific","103","16","1725","191","491","106","278","67","80","53","201","63","42","29","47","143","555",".389",".381",".838",".527","15.0","103","110","16.7","5.4","2.0","0.6","jonesja02"
"3513","Southeast","129","16","2154","235","593","165","417","91","111","41","249","68","51","45","36","180","726",".396",".396",".820",".566","14.7","112","105","16.7","5.6","1.9","0.5","jonesja02"
"3514","Southwest","95","15","1517","172","418","111","268","66","75","30","185","41","32","36","42","121","521",".411",".414",".880",".578","15.4","107","109","16.0","5.5","1.9","0.4","jonesja02"
