"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"438","Starter","651","651","19147","2903","5439","3","25","820","1474","1675","5847","1484","422","1052","1150","2071","6629",".534",".556",".544","17.2","107","102","29.4","10.2","9.0","2.3","bogutan01",".120",NA
"439","Reserve","18","0","347","46","81","0","0","8","16","37","123","35","12","17","25","47","100",".568",".500",".568","14.9","107","100","19.3","5.6","6.8","1.9","bogutan01",NA,NA
"440","40+","62","62","2612","438","843","0","5","160","282","241","819","143","42","123","146","223","1036",".520",".567",".536","19.6","107","104","42.1","16.7","13.2","2.3","bogutan01",".000",NA
"441","30-39","251","250","8757","1458","2645","1","11","436","781","749","2576","677","205","475","507","814","3353",".551",".558",".561","18.3","110","101","34.9","13.4","10.3","2.7","bogutan01",".091",NA
"442","20-29","254","248","6481","850","1640","1","8","207","364","594","2071","526","153","355","400","798","1908",".518",".569",".530","15.2","104","102","25.5","7.5","8.2","2.1","bogutan01",".125",NA
"443","10-19","92","82","1573","197","371","1","1","22","59","125","481","168","32","108","114","273","417",".531",".373",".525","14.4","100","102","17.1","4.5","5.2","1.8","bogutan01","1.000",NA
"444","0-9","10","9","70","6","21","0","0","3","4","3","23","5","2","8","8","10","15",".286",".750",".330","19.0","58","97","7.0","1.5","2.3","0.5","bogutan01",NA,NA
"445","0 Days","154","151","4543","668","1283","0","3","201","353","382","1353","386","112","237","288","525","1537",".521",".569",".534","17.3","105","103","29.5","10.0","8.8","2.5","bogutan01",".000",NA
"446","1 Day","314","307","9056","1347","2504","2","12","341","632","809","2829","696","207","504","539","947","3037",".538",".540",".546","16.6","107","101","28.8","9.7","9.0","2.2","bogutan01",".167",NA
"447","2 Days","128","126","3893","632","1168","1","7","213","366","340","1140","273","80","215","235","428","1478",".541",".582",".556","18.4","108","102","30.4","11.5","8.9","2.1","bogutan01",".143",NA
"448","3+ Days","61","55","1684","250","477","0","2","63","110","155","552","140","29","97","99","183","563",".524",".573",".536","16.8","107","102","27.6","9.2","9.0","2.3","bogutan01",".000",NA
"449","Eastern","352","343","10576","1632","3090","0","12","496","862","908","3151","825","239","561","651","1113","3760",".528",".575",".542","17.8","106","101","30.0","10.7","9.0","2.3","bogutan01",".000",NA
"450","Western","317","308","8918","1317","2430","3","13","332","628","804","2819","694","195","508","524","1005","2969",".542",".529",".549","16.4","108","102","28.1","9.4","8.9","2.2","bogutan01",".231",NA
"451","Atlantic","119","115","3547","568","1029","0","6","167","288","302","1053","308","90","186","248","369","1303",".552",".580",".564","18.2","107","101","29.8","10.9","8.8","2.6","bogutan01",".000",NA
"452","Central","111","108","3283","490","976","0","2","164","284","289","981","215","65","174","187","360","1144",".502",".577",".520","17.7","104","103","29.6","10.3","8.8","1.9","bogutan01",".000",NA
"453","Northwest","107","103","2943","418","775","0","5","109","188","241","898","244","61","171","204","351","945",".539",".580",".551","16.2","104","102","27.5","8.8","8.4","2.3","bogutan01",".000",NA
"454","Pacific","102","99","2785","428","790","1","4","99","213","261","884","238","76","154","146","321","956",".542",".465",".541","16.4","110","103","27.3","9.4","8.7","2.3","bogutan01",".250",NA
"455","Southeast","122","120","3746","574","1085","0","4","165","290","317","1117","302","84","201","216","384","1313",".529",".569",".541","17.4","107","101","30.7","10.8","9.2","2.5","bogutan01",".000",NA
"456","Southwest","108","106","3191","471","865","2","4","124","227","302","1037","212","58","183","174","333","1068",".545",".546",".553","16.4","109","102","29.5","9.9","9.6","2.0","bogutan01",".500",NA
"457","Atlanta","24","23","704","119","225","0","1","37","54","66","229","52","17","43","49","59","275",".529",".685",".553","19.3","106","103","29.3","11.5","9.5","2.2","bogutan01",".000",NA
"458","Boston","21","21","669","98","196","0","1","37","54","56","192","67","14","30","51","66","233",".500",".685",".530","18.6","102","104","31.9","11.1","9.1","3.2","bogutan01",".000",NA
"459","CHA, CHO","24","24","770","128","226","0","1","42","68","76","242","53","10","50","41","70","298",".566",".618",".582","17.6","115","98","32.1","12.4","10.1","2.2","bogutan01",".000",NA
"460","Chicago","26","26","785","103","218","0","1","35","68","70","240","53","17","45","42","85","241",".472",".515",".486","16.5","99","103","30.2","9.3","9.2","2.0","bogutan01",".000",NA
"461","Cleveland","26","25","761","110","224","0","1","36","59","67","218","41","20","40","48","89","256",".491",".610",".512","17.9","98","102","29.3","9.8","8.4","1.6","bogutan01",".000",NA
"462","Dallas","20","20","588","97","164","0","0","34","53","49","202","36","9","23","32","60","228",".591",".642",".609","17.4","117","106","29.4","11.4","10.1","1.8","bogutan01",NA,NA
"463","Denver","20","20","545","69","137","0","0","18","33","43","181","39","13","42","42","69","156",".504",".545",".515","15.4","95","100","27.3","7.8","9.1","2.0","bogutan01",NA,NA
"464","Detroit","25","24","770","121","249","0","0","36","61","74","206","52","10","37","38","63","278",".486",".590",".504","18.9","106","107","30.8","11.1","8.2","2.1","bogutan01",NA,NA
"465","Golden State","10","9","314","55","100","0","1","15","32","33","109","23","5","19","25","28","125",".550",".469",".548","18.9","103","107","31.4","12.5","10.9","2.3","bogutan01",".000",NA
